SEO_ID,PERMNO,filing_dt,Issuer_Borrower_Name_Full,SDC_Deal_Number,Gross_Proceeds,utility_flag,financial_flag,realestate_flag,sample_version
6278,18783,26JAN2021,Personalis Inc,3691271002,150100000,0,0,0,2
5279,19081,09JUN2020,SiTime Corp,3586232002,112000000,0,0,0,2
7644,20568,08NOV2021,Apria Inc,3827862002,141750000,0,0,0,2
8246,16171,10NOV2022,Kinsale Capital Group Inc,3999607002,48515000,0,1,0,2
2303,16471,13JAN2017,Smart Sand Inc,3061120002,104125000,0,0,0,2
10520,14991,14MAY2025,Atara Biotherapeutics Inc,4397710002,5514306.57,0,0,0,2
7324,92935,25AUG2021,Sharps Compliance Corp,3790122002,15570000,1,0,0,2
8614,19004,17MAY2023,Cabaletta Bio Inc,4080434002,87000000,0,0,0,2
8008,21922,07JUN2022,Consensus Cloud Solutions Inc,3931429002,82000000,0,0,0,2
3232,15541,23JAN2018,Rapid7 Inc,3205706002,113960000,0,0,0,2
9612,19628,20NOV2023,Disc Medicine Inc,4248734002,177984000,0,0,0,2
4269,15534,16APR2019,Natera Inc,3382939002,100000002,0,0,0,2
351,14591,20MAR2015,Cerulean Pharma Inc,2735605002,35040000,0,0,0,2
10760,20179,28JUL2025,Bakkt Holdings Inc,4436032002,67536270,0,1,0,2
5969,18214,01DEC2020,Twist Bioscience Corp,3667549002,308249920,0,0,0,2
9493,17690,15APR2024,Helius Medical Technologies Inc,4222820002,1586247.75,0,0,0,2
2444,15125,22MAR2017,Bellicum Pharmaceuticals Inc,3083829002,60000000,0,0,0,2
1938,14179,07OCT2016,Antero Resources Corp,3135419012,174999994,0,0,0,2
2623,16381,12MAY2017,BlackLine Inc,3102946002,114782613,0,0,0,2
9789,14991,03SEP2024,Atara Biotherapeutics Inc,4281011002,6260925,0,0,0,2
3023,16617,02NOV2017,Propetro Holding Corp,3172052002,186000000,0,0,0,2
3049,14828,13NOV2017,Sage Therapeutics Inc,3177436002,299999935,0,0,0,2
6724,83883,17MAR2021,Option Care Health Inc,3713300002,240000000,0,0,0,2
8141,21922,14SEP2022,Consensus Cloud Solutions Inc,3985357002,23000000,0,0,0,2
942,85280,15OCT2015,Carrizo Oil & Gas Inc,2811825002,211750000,0,0,0,2
8919,14543,11SEP2023,Blue Bird Corp,4166359002,52500000,0,0,0,2
8678,17372,06JUN2023,Cogent Biosciences Inc,4089724002,150000000,0,0,0,2
8831,75912,01AUG2023,PTC Inc,4114554002,826530783.75,0,0,0,2
5087,88351,04MAY2020,Insmed Inc,3571355002,225525000,0,0,0,2
1222,24328,17OCT2013,EQT Corp,2922444002,380250000,0,0,0,2
9300,15542,28FEB2024,vTv Therapeutics Inc,4201687002,5484292.37,0,0,0,2
7156,18406,13JUL2021,INmune Bio Inc,3773109002,40000004,0,0,0,2
868,15016,03SEP2015,Sientra Inc,2797928002,66000000,0,0,0,2
1070,14400,15MAY2015,New Home Co Inc,2825898002,43750000,0,0,0,2
5303,76644,17JUN2020,United States Steel Corp,3589746002,429000000,0,0,0,2
8543,19484,02JUL2021,Vaxcyte Inc,4067013002,459200000,0,0,0,2
10840,67360,03JUN2025,Unitil Corp,4443564002,65000010.75,1,0,0,2
11199,20067,04DEC2025,SoFi Technologies Inc,4494830002,1499999985,0,1,0,2
1611,76127,15JUN2016,TETRA Technologies Inc,2972376002,55000000,0,0,0,2
10602,77175,12AUG2024,American Superconductor Corp,4409071002,115500000,0,0,0,2
3105,16765,20OCT2017,Myomo Inc,3167499002,9978250,0,0,0,2
8312,91402,08DEC2022,Chart Industries Inc,4010715002,700000083.9,0,0,0,2
7766,18106,07DEC2021,Bank7 Corp,3849307002,22000000,0,1,0,2
5997,18955,07DEC2020,IGM Biosciences Inc,3669751002,79910190,0,0,0,2
10767,16923,30AUG2024,Celcuity Inc,4435892002,69799996,0,0,0,2
4987,13798,10FEB2020,Oramed Pharmaceuticals Inc,3519386002,21000000,0,0,0,2
581,92040,03MAR2015,Amicus Therapeutics Inc,2761563002,224999999,0,0,0,2
4810,90233,10DEC2019,Momenta Pharmaceuticals Inc,3488190002,225000015,0,0,0,2
8266,21087,15NOV2022,Privia Health Group Inc,4001402002,117500000,0,0,0,2
7100,16064,28JUN2021,Intellia Therapeutics Inc,3764584002,599999995,0,0,0,2
5584,16709,01JUN2018,Ovid Therapeutics Inc,3626266002,50000000,0,0,0,2
200,14325,02DEC2014,Tandem Diabetes Care Inc,2727292002,60375000,0,0,0,2
276,12477,04OCT2012,Walker & Dunlop Inc,2733635002,135243157.6,0,1,0,2
1004,91603,10NOV2015,AmTrust Financial Services Inc,2819479002,320000000,0,1,0,2
10966,17327,29SEP2025,One Stop Systems Inc,4467033002,12500000,0,0,0,2
8861,21122,09AUG2023,Flywire Corp,4118084002,256000000,0,0,0,2
8520,15303,28JUL2021,Viking Therapeutics Inc,4060322002,250009000,0,0,0,2
9632,93073,26JUN2024,Addus HomeCare Corp,4254406002,162000000,0,0,0,2
3155,15638,14DEC2017,Global Blood Therapeutics Inc,3192082002,100000002,0,0,0,2
3312,15978,25FEB2018,ViewRay Inc,3218109002,58922728.11,0,0,0,2
2379,12448,06MAR2017,"First Republic Bank,San Francisco,California",3077056002,237500000,0,1,0,2
59,14874,08JAN2015,Otonomy Inc,2713578002,74587500,0,0,0,2
